word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved
売行き,うれゆき,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sales,same-reading-different-writing|same-jmdict-entry,売れ行き,,売れ行き,うれゆき,N2,うれゆき|売れゆき|売れ行き|売行|売行き,yes
運転,うんてんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to drive,same-writing-different-reading,,うんてん,,,,,no
うんと,うんと,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"a great deal,very much",fully-absent,,,,,,,yes
運動,うんどうする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to exercise,same-writing-different-reading,,うんどう,,,,,no
遠慮,えんりょする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to be reserved; to be restrained,same-writing-different-reading,,えんりょ,,,,,no
於いて,おいて,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,at; in; on,same-reading-different-writing|same-jmdict-entry,おいて,,おいて,おいて,N3,おいて|於|於いて|於て,yes
大凡,おおよそ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,about; roughly; as a rule,same-reading-different-writing|same-jmdict-entry,おおよそ,,おおよそ,おおよそ,N2,おおよそ|凡|凡そ|大よそ|大凡,yes
おかけください,おかけください,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,fixed-expression/conjugated,请坐,fully-absent,,,,,,,yes
お目に掛かる,おめにかかる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,lexical,拜见,same-reading-different-writing|same-jmdict-entry,お目にかかる,,お目にかかる,おめにかかる,N3,おめにかかる|お目にかかる|お目に掛かる|御目にかかる|御目に掛かる,yes
思い掛けない,おもいがけない,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,unexpected; casual,same-reading-different-writing|same-jmdict-entry,思いがけない,,思いがけない,おもいがけない,N2,おもいがけない|思いがけない|思い掛けない|思い掛け無い,yes
思いっ切り,おもいっきり,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,狠狠地,fully-absent,,,,,,,yes
感ずる,かんずる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to feel; to sense,fully-absent,,,,,,,yes
兆,きざし,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,signs; omen; symptoms,same-reading-different-writing|same-writing-different-reading,兆し,ちょう,,,,,no
計画,けいかくする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to plan,same-writing-different-reading,,けいかく,,,,,no
経験,けいけんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to experience,same-writing-different-reading,,けいけん,,,,,no
煌々と,こうこうと,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,brilliantly; brightly,fully-absent,,,,,,,no
故障,こしょうする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to break-down,same-writing-different-reading,,こしょう,,,,,no
故人,こじん,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,the deceased; old friend,same-reading-different-writing,個人,,,,,,yes
さ来年,さらいねん,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,year after next,same-reading-different-writing|same-jmdict-entry,再来年,,再来年,さらいねん,N2,さらいねん|さ来年|再来年,yes
支度,したくする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to prepare,same-writing-different-reading,,したく,,,,,no
出席,しゅっせきする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to attend,same-writing-different-reading,,しゅっせき,,,,,no
出発,しゅっぱつする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to depart,same-writing-different-reading,,しゅっぱつ,,,,,no
小,しょう,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,lexical,小,same-reading-different-writing,商|症|相|省|章|背負う|象|賞,,,,,,yes
承知,しょうちする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to consent,same-writing-different-reading,,しょうち,,,,,no
食事,しょくじする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to have a meal,same-writing-different-reading,,しょくじ,,,,,no
知合い,しりあい,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,acquaintance,same-reading-different-writing|same-jmdict-entry,知り合い,,知り合い,しりあい,N3,しりあい|知りあい|知り合|知り合い|知合|知合い,yes
心配,しんぱいする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to worry,same-writing-different-reading,,しんぱい,,,,,no
準備,じゅんびする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to prepare,same-writing-different-reading,,じゅんび,,,,,no
角,すみ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,horn,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,墨|済み|炭|隅,かく|かど|つの,隅,すみ,N1,すま|すみ|角|隅,yes
為る,する,N5,"{""N3"": 1, ""N5"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to change; to be of use; to reach to,same-reading-different-writing|same-jmdict-entry,する|刷る|剃る|掏る|擦る,,する,する,N5,する|為る,yes
ずうっと,ずうっと,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"all the time, all the way",same-jmdict-entry,,,ずっと,ずっと,N5,ずうっと|ずっと|ずーっと,yes
狡い,ずるい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sly; cunning,same-reading-different-writing|same-jmdict-entry,ずるい,,ずるい,ずるい,N3,こすい|ずるい|ズルい|ズルイ|狡い,yes
所為,せい,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,cause; reason; fault,same-reading-different-writing|same-jmdict-entry,せい|制|姓|性|正|生|精|背|製,,せい,せい,N5,せい|せえ|所為,yes
生活,せいかつする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to live,same-writing-different-reading,,せいかつ,,,,,no
生産,せいさんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to produce,same-writing-different-reading,,せいさん,,,,,no
世話,せわする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to look after,same-writing-different-reading,,せわ,,,,,no
相談,そうだんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to discuss,same-writing-different-reading,,そうだん,,,,,no
卒直,そっちょく,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,frankness; candour; openheartedness,same-reading-different-writing|same-jmdict-entry,率直,,率直,そっちょく,N2,そっちょく|卒直|率直,yes
外方,そっぽ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,look (or turn) the other way,same-reading-different-writing|same-jmdict-entry,そっぽ,,そっぽ,そっぽ,N1,そっぽ|外方,yes
具える,そなえる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to be furnished with,same-reading-different-writing|same-jmdict-entry,供える|備える,,備える,そなえる,N2,そなえる|備える|具える,yes
タイア,タイア,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"tire,tyre",same-jmdict-entry,,,タイヤ,タイヤ,N2,タイア|タイヤ,yes
退院,たいいんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to leave hospital,same-writing-different-reading,,たいいん,,,,,no
楽む,たのしむ,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to enjoy oneself,same-reading-different-writing|same-jmdict-entry,楽しむ,,楽しむ,たのしむ,N4,たのしむ|愉しむ|楽しむ|楽む,yes
偶々,たまたま,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,casually; unexpectedly; accidentally,same-reading-different-writing|same-jmdict-entry,たまたま,,たまたま,たまたま,N2,たまたま|偶|偶々|偶偶|適,yes
田ぼ,たんぼ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,paddy field; farm,same-reading-different-writing|same-jmdict-entry,田んぼ|田圃,,田んぼ|田圃,たんぼ,N1,たんぼ|でんぼ|でんぽ|田ぼ|田んぼ|田圃|田畝,yes
付合う,つきあう,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to associate with; to keep company with; to get on with,same-reading-different-writing|same-jmdict-entry,付き合う,,付き合う,つきあう,N3,つきあう|つき合う|付きあう|付き合う|付合う,yes
壷,つぼ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,tsubo jar; pot; vase,same-reading-different-writing|same-jmdict-entry,つぼ|坪|壺,,つぼ|壺,つぼ,N1,つぼ|ツボ|壷|壺|壼,yes
殿様,とのさま,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,feudal lord,fully-absent,,,,,,,yes
副,とりわけ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,especially; above all,same-reading-different-writing|same-writing-different-reading,とりわけ|取り分け,ふく,,,,,no
嘗める,なめる,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to lick; to taste; to experience,same-reading-different-writing|same-jmdict-entry,なめる|舐める,,なめる|舐める,なめる,N1|N3,なめる|ナメる|嘗める|無礼る|甞める|舐める,yes
入院,にゅういんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to hospitalise,same-writing-different-reading,,にゅういん,,,,,no
入学,にゅうがくする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to enter school or university,same-writing-different-reading,,にゅうがく,,,,,no
拝見,はいけんする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,(humble) to look at,same-writing-different-reading,,はいけん,,,,,no
陽射,ひざし,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sunlight; rays of the sun,same-reading-different-writing|same-jmdict-entry,日差し,,日差し,ひざし,N2,ひざし|日ざし|日射し|日差|日差し|陽ざし|陽射|陽射し|陽差し,yes
引っ繰り返す,ひっくりかえす,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to turn over; to overturn; to knock over,same-reading-different-writing|same-jmdict-entry,ひっくり返す,,ひっくり返す,ひっくりかえす,N2,ひっくりかえす|ひっくりがえす|ひっくり返す|ヒックリ返す|引っくり返す|引っ繰り返す|引繰り返す,yes
人差指,ひとさしゆび,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,index finger,same-reading-different-writing|same-jmdict-entry,人差し指,,人差し指,ひとさしゆび,N3,ひとさしゆび|人さし指|人差し指|人差指|人指し指,yes
殖やす,ふやす,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to increase; to add to; to augment,same-reading-different-writing|same-jmdict-entry,増やす,,増やす,ふやす,N3,ふやす|増やす|殖やす,yes
放送,ほうそうする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to broadcast,same-writing-different-reading,,ほうそう,,,,,no
本当,ほんと,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,truth; reality,same-writing-different-reading|same-jmdict-entry,,ほんとう,本当,ほんとう,N5,ほんと|ほんとう|ホント|ホントウ|ホントー|本当|本當,yes
纏め,まとめ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,settlement; conclusion,same-reading-different-writing|same-jmdict-entry,まとめ,,まとめ,まとめ,N1,まとめ|纏め,yes
真中,まんなか,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,middle,same-reading-different-writing,真ん中,,,,,,no
見せ物,みせもの,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,show; exhibition,same-reading-different-writing|same-jmdict-entry,見世物,,見世物,みせもの,N1,みせもの|見せ物|見世物,yes
輸出,ゆしゅつする,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|wordmaster,community-independent|waller-derived,2,lexical,to export,same-writing-different-reading,,ゆしゅつ,,,,,no
漸く,ようやく,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,gradually; finally; hardly,same-reading-different-writing|same-jmdict-entry,ようやく|要約,,ようやく,ようやく,N3,ようやく|漸く,yes
因る,よる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to come from,same-reading-different-writing|same-jmdict-entry,よる|夜|寄る,,よる,よる,N5,よる|依る|因る|拠る|由る,yes
慶ぶ,よろこぶ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,"to be delighted, to be glad",same-reading-different-writing|same-jmdict-entry,喜ぶ,,喜ぶ,よろこぶ,N4,よろこぶ|喜ぶ|悦ぶ|慶ぶ|欣ぶ|歓ぶ,yes
