word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,example_meaning
～形,～けい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,shape of ~
～系,～けい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"~ system, ~ lineage, ~ group"
～圏,～けん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"bloc, sphere, area"
～軒,～けん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,counter for houses
～個,～こ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,"counter for small items (e.g., fruits, cups)"
～光,～こう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,light
～校,～こう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for school
～港,～こう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,~ port
～国,～こく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,nation of ~
～ころ; ～ごろ,～ころ; ～ごろ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,"about, toward, approximately (time)"
～語,～ご,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,"word, language"
～号,～ごう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for magazine; the name of ship
～ございます,～ございます,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,有
～毎,～ごと,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,每～
～歳,～さい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~岁
～冊,～さつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~本(书)
～様,～さま,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,～先生/女士/先生
～さん,～さん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～先生/～女士/～先生
～山,～さん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,the name of mountain
～産,～さん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,made in ~
～史,～し,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,history of ~
～紙,～し,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"newspaper, type of paper"
～式,～しき,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,~式
～室,～しつ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for room
～社,～しゃ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for company
～者,～しゃ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,person
～車,～しゃ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,~ car
～手,～しゅ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"~ player, person who does ~"
～酒,～しゅ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,kind of alcohol
～宗,～しゅう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,sect
～集,～しゅう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,collection of ~
～週間,～しゅうかん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,~ weeks
～所,～しょ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,place
～署,～しょ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,department
～勝,～しょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,count for victory
～商,～しょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"merchant, business"
～症,～しょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,disease
～省,～しょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,kind of ministry
～証,～しょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,"proof, certificate"
～色,～しょく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,kind of color
～心,～しん,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,mind of ~
～寺,～じ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,the name of temple
～時,～じ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～点
～時間,～じかん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～小时
～時間目,～じかんめ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"~th hour, ~th period"
～中,～じゅう,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,"during, while"
～女,～じょ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,count for sisters
～場,～じょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"kind of field, ground"
～嬢,～じょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,young woman
～条,～じょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for article
～畳,～じょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"count for tatami, mat"
