word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation,current_forms,current_readings,current_levels,jmdict_forms
しっぽ,しっぽ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,tail (animal),same-jmdict-entry,尻尾,しっぽ,N1,しっぽ|しりお|尻尾
屎尿,しにょう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,excreta; raw sewage; human waste,same-jmdict-entry,し尿,しにょう,N1,しにょう|し尿|屎尿
しぼむ,しぼむ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"to wither,to fade (away),to shrivel,to wilt",same-jmdict-entry,萎む,しぼむ,N2,しぼむ|凋む|萎む
執着,しゅうじゃく,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,attachment; adhesion; tenacity,same-jmdict-entry,執着,しゅうちゃく,N1,しゅうじゃく|しゅうちゃく|執着|執著
すくなくとも,すくなくとも,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,at least,same-jmdict-entry,少なくとも,すくなくとも,N2,すくなくとも|少くとも|少なくとも|尠くとも
角,すみ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,horn,same-jmdict-entry,隅,すみ,N1,すま|すみ|角|隅
清む,すむ,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,清澈,same-jmdict-entry,澄む,すむ,N1,すむ|清む|澄む
ずうっと,ずうっと,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"all the time, all the way",same-jmdict-entry,ずっと,ずっと,N5,ずうっと|ずっと|ずーっと
伜,せがれ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,son; my son,same-jmdict-entry,倅,せがれ,N1,せがれ|伜|倅|忰|悴
世論,せろん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,public opinion,same-jmdict-entry,世論,よろん,N1,せいろん|せろん|よろん|世論|輿論
そうっと,そうっと,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"softly, cautiously, gently",same-jmdict-entry,そっと,そっと,N3,そうっと|そおっと|そっと|そーっと
卒直,そっちょく,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,frankness; candour; openheartedness,same-jmdict-entry,率直,そっちょく,N2,そっちょく|卒直|率直
具える,そなえる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to be furnished with,same-jmdict-entry,備える,そなえる,N2,そなえる|備える|具える
タイア,タイア,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"tire,tyre",same-jmdict-entry,タイヤ,タイヤ,N2,タイア|タイヤ
堪える,たえる,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,lexical,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",same-jmdict-entry,耐える,たえる,N2,たえる|堪える|耐える
たびたび,たびたび,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"often,repeatedly,frequently",same-jmdict-entry,度々,たびたび,N2,たびたび|度々|度度
溜息,ためいき,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,a sigh,same-jmdict-entry,ため息,ためいき,N1,ためいき|ため息|溜め息|溜息
大分,だいぶん,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,considerably; greatly; a lot,same-jmdict-entry,だいぶ|大分,だいぶ,N2|N4,だいぶ|だいぶん|大分
近付ける,ちかづける,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to bring near; to put close; to let come near,same-jmdict-entry,近づける,ちかづける,N2,ちかづける|近づける|近付ける
塵紙,ちりがみ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,tissue paper; toilet paper,same-jmdict-entry,ちり紙,ちりがみ,N2,ちりがみ|ちりし|ちり紙|チリ紙|塵紙
塵取り,ちりとり,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,dustpan,same-jmdict-entry,ちり取り,ちりとり,N1,ちりとり|ちり取|ちり取り|チリトリ|チリ取り|塵取|塵取り
